stock_code,description,invoice_month,monthly_units,monthly_revenue,order_count,avg_unit_price
10002,INFLATABLE POLITICAL GLOBE,2010-12,251,234.41,30,1.201
10002,INFLATABLE POLITICAL GLOBE,2011-01,340,291.37,21,0.9628571428571429
10002,INFLATABLE POLITICAL GLOBE,2011-02,52,45.76,7,1.0728571428571427
10002,INFLATABLE POLITICAL GLOBE,2011-03,28,27.7,8,1.1425
10002,INFLATABLE POLITICAL GLOBE,2011-04,189,160.65,5,0.85
10080,GROOVY CACTUS INFLATABLE,2011-02,2,1.7,1,0.85
10080,GROOVY CACTUS INFLATABLE,2011-06,60,23.4,2,0.39
10080,GROOVY CACTUS INFLATABLE,2011-07,24,9.36,2,0.39
10080,GROOVY CACTUS INFLATABLE,2011-08,60,23.4,4,0.39
10080,GROOVY CACTUS INFLATABLE,2011-09,60,23.4,4,0.39
10080,GROOVY CACTUS INFLATABLE,2011-10,6,2.34,3,0.38999999999999996
10080,GROOVY CACTUS INFLATABLE,2011-11,91,35.489999999999995,6,0.38999999999999996
10120,DOGGY RUBBER,2010-12,16,3.36,4,0.21
10120,DOGGY RUBBER,2011-02,30,6.3,1,0.21
10120,DOGGY RUBBER,2011-03,28,5.88,4,0.21
10120,DOGGY RUBBER,2011-05,3,0.63,2,0.21
10120,DOGGY RUBBER,2011-07,5,1.05,1,0.21
10120,DOGGY RUBBER,2011-08,35,7.35,2,0.21
10120,DOGGY RUBBER,2011-09,10,2.1,4,0.21
10120,DOGGY RUBBER,2011-10,10,2.1,2,0.21
10120,DOGGY RUBBER,2011-11,49,10.29,8,0.21
10120,DOGGY RUBBER,2011-12,6,1.26,1,0.21
10123C,HEARTS WRAPPING TAPE,2010-12,1,0.65,1,0.65
10123C,HEARTS WRAPPING TAPE,2011-03,4,2.6,2,0.65
10124A,SPOTS ON RED BOOKCOVER TAPE,2010-12,4,1.68,1,0.42
10124A,SPOTS ON RED BOOKCOVER TAPE,2011-02,3,1.26,1,0.42
10124A,SPOTS ON RED BOOKCOVER TAPE,2011-03,5,2.1,2,0.42
10124A,SPOTS ON RED BOOKCOVER TAPE,2011-11,4,1.68,1,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,2010-12,5,2.1,1,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,2011-03,4,1.68,1,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,2011-09,4,1.68,1,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,2011-11,4,1.68,1,0.42
10125,MINI FUNKY DESIGN TAPES,2010-12,154,90.86,11,0.95
10125,MINI FUNKY DESIGN TAPES,2011-01,213,109.65,28,0.7039285714285715
10125,MINI FUNKY DESIGN TAPES,2011-03,114,98.46,11,0.98
10125,MINI FUNKY DESIGN TAPES,2011-04,82,69.7,6,0.85
10125,MINI FUNKY DESIGN TAPES,2011-05,107,90.95,6,0.85
10125,MINI FUNKY DESIGN TAPES,2011-06,15,14.309999999999999,3,1.11
10125,MINI FUNKY DESIGN TAPES,2011-07,176,150.38,9,0.9279999999999999
10125,MINI FUNKY DESIGN TAPES,2011-08,85,72.25,4,0.85
10125,MINI FUNKY DESIGN TAPES,2011-09,210,178.5,4,0.85
10125,MINI FUNKY DESIGN TAPES,2011-10,51,44.129999999999995,5,1.0059999999999998
10125,MINI FUNKY DESIGN TAPES,2011-11,62,52.7,2,0.85
10125,MINI FUNKY DESIGN TAPES,2011-12,26,22.1,2,0.85
10133,COLOURING PENCILS BROWN TUBE,2010-12,130,85.27,15,0.8153333333333334
10133,COLOURING PENCILS BROWN TUBE,2011-01,180,113.84,21,0.7495238095238095
10133,COLOURING PENCILS BROWN TUBE,2011-02,39,34.71,6,0.98
10133,COLOURING PENCILS BROWN TUBE,2011-03,83,70.55,7,0.85
10133,COLOURING PENCILS BROWN TUBE,2011-04,76,65.38,3,1.11
10133,COLOURING PENCILS BROWN TUBE,2011-05,33,28.05,4,0.85
10133,COLOURING PENCILS BROWN TUBE,2011-06,525,266.18,41,0.5704878048780488
10133,COLOURING PENCILS BROWN TUBE,2011-07,830,416.65999999999997,53,0.5824528301886792
10133,COLOURING PENCILS BROWN TUBE,2011-08,753,366.69,37,0.5972972972972972
10133,COLOURING PENCILS BROWN TUBE,2011-09,207,92.27,9,0.5566666666666666
10135,COLOURING PENCILS BROWN TUBE,2010-12,411,279.02,31,1.5116129032258063
10135,COLOURING PENCILS BROWN TUBE,2011-01,613,487.38,42,1.0616666666666668
10135,COLOURING PENCILS BROWN TUBE,2011-02,272,296.29,12,1.6691666666666667
10135,COLOURING PENCILS BROWN TUBE,2011-03,118,98.91,9,1.2879999999999998
10135,COLOURING PENCILS BROWN TUBE,2011-04,30,37.5,5,1.25
10135,COLOURING PENCILS BROWN TUBE,2011-05,13,22.3,3,1.6533333333333333
10135,COLOURING PENCILS BROWN TUBE,2011-06,55,68.75,8,1.25
10135,COLOURING PENCILS BROWN TUBE,2011-07,177,221.25,9,1.25
10135,COLOURING PENCILS BROWN TUBE,2011-08,151,169.75,4,1.2025000000000001
10135,COLOURING PENCILS BROWN TUBE,2011-09,70,99.6,11,1.69
10135,COLOURING PENCILS BROWN TUBE,2011-10,69,101.98,13,1.7153846153846155
10135,COLOURING PENCILS BROWN TUBE,2011-11,181,225.01999999999998,22,1.654090909090909
10135,COLOURING PENCILS BROWN TUBE,2011-12,69,97.14,6,1.6533333333333333
11001,ASSTD DESIGN RACING CAR PEN,2010-12,74,138.42,11,2.4490909090909088
11001,ASSTD DESIGN RACING CAR PEN,2011-01,33,57.44,3,2.2466666666666666
11001,ASSTD DESIGN RACING CAR PEN,2011-02,26,59.94,2,2.49
11001,ASSTD DESIGN RACING CAR PEN,2011-03,52,92.68,5,2.33
11001,ASSTD DESIGN RACING CAR PEN,2011-04,36,60.84,4,1.69
11001,ASSTD DESIGN RACING CAR PEN,2011-05,96,162.24,5,1.69
11001,ASSTD DESIGN RACING CAR PEN,2011-06,201,251.96999999999997,9,1.498888888888889
11001,ASSTD DESIGN RACING CAR PEN,2011-07,236,244.89999999999998,26,1.021111111111111
11001,ASSTD DESIGN RACING CAR PEN,2011-08,499,650.03,6,1.8166666666666667
11001,ASSTD DESIGN RACING CAR PEN,2011-09,96,167.04,10,2.0100000000000002
11001,ASSTD DESIGN RACING CAR PEN,2011-10,116,221.64,13,2.3757142857142854
11001,ASSTD DESIGN RACING CAR PEN,2011-11,128,237.12,14,2.3757142857142854
11001,ASSTD DESIGN RACING CAR PEN,2011-12,22,45.18,5,2.65
15030,FAN BLACK FRAME,2011-03,5,1.45,1,0.29
15030,FAN BLACK FRAME,2011-06,10,2.9,1,0.29
15030,FAN BLACK FRAME,2011-07,89,25.81,4,0.29
15030,FAN BLACK FRAME,2011-08,2,0.58,1,0.29
15030,FAN BLACK FRAME,2011-09,3,0.8699999999999999,1,0.29
15030,FAN BLACK FRAME,2011-10,10,2.9,1,0.29
15030,FAN BLACK FRAME,2011-11,22,6.379999999999999,2,0.29
15030,FAN BLACK FRAME,2011-12,2,0.58,1,0.29
15034,PAPER POCKET TRAVELING FAN,2010-12,45,11.27,9,0.5344444444444444
15034,PAPER POCKET TRAVELING FAN,2011-01,177,31.050000000000004,6,0.7216666666666667
15034,PAPER POCKET TRAVELING FAN,2011-02,80,16.72,4,0.485
15034,PAPER POCKET TRAVELING FAN,2011-03,123,19.290000000000003,6,0.255
15034,PAPER POCKET TRAVELING FAN,2011-04,541,59.63000000000001,11,0.19636363636363638
15034,PAPER POCKET TRAVELING FAN,2011-05,827,123.37000000000002,18,0.29333333333333333
15034,PAPER POCKET TRAVELING FAN,2011-06,1621,126.83000000000001,11,0.18999999999999997
15034,PAPER POCKET TRAVELING FAN,2011-07,212,34.510000000000005,9,0.37
15034,PAPER POCKET TRAVELING FAN,2011-08,205,95.63,14,0.5835714285714285
15034,PAPER POCKET TRAVELING FAN,2011-09,394,59.99000000000001,15,0.232
15034,PAPER POCKET TRAVELING FAN,2011-10,1791,168.81000000000003,10,0.33999999999999997
15034,PAPER POCKET TRAVELING FAN,2011-11,573,91.26000000000002,23,0.41
15034,PAPER POCKET TRAVELING FAN,2011-12,2,1.66,2,0.83
15036,ASSORTED COLOURS SILK FAN,2010-12,161,136.12,23,1.0495652173913044
15036,ASSORTED COLOURS SILK FAN,2011-01,977,634.12,27,1.0274074074074075
15036,ASSORTED COLOURS SILK FAN,2011-02,2260,1586.36,30,0.982
15036,ASSORTED COLOURS SILK FAN,2011-03,3104,2251.52,38,1.082051282051282
15036,ASSORTED COLOURS SILK FAN,2011-04,1966,1527.26,41,1.013170731707317
15036,ASSORTED COLOURS SILK FAN,2011-05,4684,3708.92,74,0.9528378378378377
15036,ASSORTED COLOURS SILK FAN,2011-06,3346,2706.58,70,1.0398571428571428
15036,ASSORTED COLOURS SILK FAN,2011-07,3486,2690.98,53,1.0652830188679243
15036,ASSORTED COLOURS SILK FAN,2011-08,1427,1277.2099999999998,45,1.200888888888889
15036,ASSORTED COLOURS SILK FAN,2011-09,487,433.33,29,1.1572413793103447
15036,ASSORTED COLOURS SILK FAN,2011-10,1255,1010.05,36,1.093611111111111
15036,ASSORTED COLOURS SILK FAN,2011-11,604,533.3199999999999,42,1.1347619047619046
15036,ASSORTED COLOURS SILK FAN,2011-12,69,74.07,10,1.47
15039,SANDALWOOD FAN,2010-12,20,19.43,5,1.174
15039,SANDALWOOD FAN,2011-01,54,74.91,6,1.25
15039,SANDALWOOD FAN,2011-02,11,17.93,6,1.63
15039,SANDALWOOD FAN,2011-03,32,45.919999999999995,10,1.4739999999999998
15039,SANDALWOOD FAN,2011-04,55,49.09,10,1.084
15039,SANDALWOOD FAN,2011-05,605,420.59000000000003,14,0.9942857142857143
15039,SANDALWOOD FAN,2011-06,470,370.2,22,1.2254545454545454
15039,SANDALWOOD FAN,2011-07,241,233.70999999999998,12,1.24
15039,SANDALWOOD FAN,2011-08,152,197.05999999999997,17,1.2629411764705882
15039,SANDALWOOD FAN,2011-09,61,55.75,8,1.045
15039,SANDALWOOD FAN,2011-10,134,115.06,9,1.3344444444444443
