invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,invoice_date_only,invoice_month,invoice_week,revenue
536370,POST,POSTAGE,3,2010-12-01 08:45:00,18.0,12583.0,France,2010-12-01,2010-12,2010-11-29/2010-12-05,54.0
536403,POST,POSTAGE,1,2010-12-01 11:27:00,15.0,12791.0,Netherlands,2010-12-01,2010-12,2010-11-29/2010-12-05,15.0
536527,POST,POSTAGE,1,2010-12-01 13:04:00,18.0,12662.0,Germany,2010-12-01,2010-12,2010-11-29/2010-12-05,18.0
536544,DOT,DOTCOM POSTAGE,1,2010-12-01 14:32:00,569.77,,United Kingdom,2010-12-01,2010-12,2010-11-29/2010-12-05,569.77
536569,M,MANUAL,1,2010-12-01 15:35:00,1.25,16274.0,United Kingdom,2010-12-01,2010-12,2010-11-29/2010-12-05,1.25
536569,M,MANUAL,1,2010-12-01 15:35:00,18.95,16274.0,United Kingdom,2010-12-01,2010-12,2010-11-29/2010-12-05,18.95
536592,DOT,DOTCOM POSTAGE,1,2010-12-01 17:06:00,607.49,,United Kingdom,2010-12-01,2010-12,2010-11-29/2010-12-05,607.49
536779,BANK CHARGES,BANK CHARGES,1,2010-12-02 15:08:00,15.0,15823.0,United Kingdom,2010-12-02,2010-12,2010-11-29/2010-12-05,15.0
536840,POST,POSTAGE,1,2010-12-02 18:27:00,18.0,12738.0,Germany,2010-12-02,2010-12,2010-11-29/2010-12-05,18.0
536852,POST,POSTAGE,1,2010-12-03 09:51:00,18.0,12686.0,France,2010-12-03,2010-12,2010-11-29/2010-12-05,18.0
536858,POST,POSTAGE,2,2010-12-03 10:36:00,40.0,13520.0,Switzerland,2010-12-03,2010-12,2010-11-29/2010-12-05,80.0
536861,POST,POSTAGE,3,2010-12-03 10:44:00,18.0,12427.0,Germany,2010-12-03,2010-12,2010-11-29/2010-12-05,54.0
536862,DOT,DOTCOM POSTAGE,1,2010-12-03 11:13:00,254.43,,United Kingdom,2010-12-03,2010-12,2010-11-29/2010-12-05,254.43
536864,DOT,DOTCOM POSTAGE,1,2010-12-03 11:27:00,121.06,,United Kingdom,2010-12-03,2010-12,2010-11-29/2010-12-05,121.06
536865,M,MANUAL,1,2010-12-03 11:28:00,2.55,,United Kingdom,2010-12-03,2010-12,2010-11-29/2010-12-05,2.55
536865,DOT,DOTCOM POSTAGE,1,2010-12-03 11:28:00,498.47,,United Kingdom,2010-12-03,2010-12,2010-11-29/2010-12-05,498.47
536876,DOT,DOTCOM POSTAGE,1,2010-12-03 11:36:00,887.52,,United Kingdom,2010-12-03,2010-12,2010-11-29/2010-12-05,887.52
536967,POST,POSTAGE,1,2010-12-03 12:57:00,18.0,12600.0,Germany,2010-12-03,2010-12,2010-11-29/2010-12-05,18.0
536974,POST,POSTAGE,2,2010-12-03 13:59:00,18.0,12682.0,France,2010-12-03,2010-12,2010-11-29/2010-12-05,36.0
536981,M,MANUAL,2,2010-12-03 14:26:00,0.85,14723.0,United Kingdom,2010-12-03,2010-12,2010-11-29/2010-12-05,1.7
536983,POST,POSTAGE,1,2010-12-03 14:30:00,18.0,12712.0,Germany,2010-12-03,2010-12,2010-11-29/2010-12-05,18.0
536990,POST,POSTAGE,1,2010-12-03 15:14:00,28.0,12793.0,Portugal,2010-12-03,2010-12,2010-11-29/2010-12-05,28.0
537022,POST,POSTAGE,2,2010-12-03 15:45:00,28.0,12725.0,Italy,2010-12-03,2010-12,2010-11-29/2010-12-05,56.0
537026,POST,POSTAGE,2,2010-12-03 16:35:00,18.0,12395.0,Belgium,2010-12-03,2010-12,2010-11-29/2010-12-05,36.0
537065,POST,POSTAGE,9,2010-12-05 11:57:00,18.0,12567.0,France,2010-12-05,2010-12,2010-11-29/2010-12-05,162.0
537077,M,MANUAL,12,2010-12-05 11:59:00,0.42,17062.0,United Kingdom,2010-12-05,2010-12,2010-11-29/2010-12-05,5.04
537137,M,MANUAL,36,2010-12-05 12:43:00,0.85,16327.0,United Kingdom,2010-12-05,2010-12,2010-11-29/2010-12-05,30.599999999999998
537140,M,MANUAL,1,2010-12-05 12:53:00,0.42,12748.0,United Kingdom,2010-12-05,2010-12,2010-11-29/2010-12-05,0.42
537140,M,MANUAL,1,2010-12-05 12:53:00,0.85,12748.0,United Kingdom,2010-12-05,2010-12,2010-11-29/2010-12-05,0.85
537197,POST,POSTAGE,3,2010-12-05 14:02:00,18.0,12647.0,Germany,2010-12-05,2010-12,2010-11-29/2010-12-05,54.0
537198,POST,POSTAGE,1,2010-12-05 14:03:00,18.0,12647.0,Germany,2010-12-05,2010-12,2010-11-29/2010-12-05,18.0
537199,M,MANUAL,1,2010-12-05 14:06:00,0.65,15894.0,United Kingdom,2010-12-05,2010-12,2010-11-29/2010-12-05,0.65
537201,POST,POSTAGE,6,2010-12-05 14:19:00,18.0,12472.0,Germany,2010-12-05,2010-12,2010-11-29/2010-12-05,108.0
537208,M,MANUAL,4,2010-12-05 15:12:00,0.85,15889.0,United Kingdom,2010-12-05,2010-12,2010-11-29/2010-12-05,3.4
537212,POST,POSTAGE,4,2010-12-05 15:21:00,18.0,12720.0,Germany,2010-12-05,2010-12,2010-11-29/2010-12-05,72.0
537225,M,MANUAL,1,2010-12-05 16:41:00,1.0,12748.0,United Kingdom,2010-12-05,2010-12,2010-11-29/2010-12-05,1.0
537237,DOT,DOTCOM POSTAGE,1,2010-12-06 09:58:00,863.74,,United Kingdom,2010-12-06,2010-12,2010-12-06/2010-12-12,863.74
537240,DOT,DOTCOM POSTAGE,1,2010-12-06 10:08:00,940.87,,United Kingdom,2010-12-06,2010-12,2010-12-06/2010-12-12,940.87
537246,POST,POSTAGE,1,2010-12-06 10:27:00,28.0,12808.0,Portugal,2010-12-06,2010-12,2010-12-06/2010-12-12,28.0
537250,POST,POSTAGE,1,2010-12-06 10:43:00,18.0,12708.0,Germany,2010-12-06,2010-12,2010-12-06/2010-12-12,18.0
537377,M,MANUAL,12,2010-12-06 13:01:00,0.19,15882.0,United Kingdom,2010-12-06,2010-12,2010-12-06/2010-12-12,2.2800000000000002
537392,M,MANUAL,5,2010-12-06 13:58:00,1.25,17068.0,United Kingdom,2010-12-06,2010-12,2010-12-06/2010-12-12,6.25
537396,M,MANUAL,1,2010-12-06 14:08:00,35.0,17223.0,United Kingdom,2010-12-06,2010-12,2010-12-06/2010-12-12,35.0
537434,DOT,DOTCOM POSTAGE,1,2010-12-06 16:57:00,950.99,,United Kingdom,2010-12-06,2010-12,2010-12-06/2010-12-12,950.99
537435,M,MANUAL,2,2010-12-06 16:58:00,5.95,17920.0,United Kingdom,2010-12-06,2010-12,2010-12-06/2010-12-12,11.9
537463,POST,POSTAGE,4,2010-12-07 10:08:00,18.0,12681.0,France,2010-12-07,2010-12,2010-12-06/2010-12-12,72.0
537468,POST,POSTAGE,3,2010-12-07 10:36:00,18.0,12567.0,France,2010-12-07,2010-12,2010-12-06/2010-12-12,54.0
537534,M,MANUAL,1,2010-12-07 11:48:00,924.59,,United Kingdom,2010-12-07,2010-12,2010-12-06/2010-12-12,924.59
537594,POST,POSTAGE,5,2010-12-07 12:28:00,18.0,12647.0,Germany,2010-12-07,2010-12,2010-12-06/2010-12-12,90.0
537632,AMAZONFEE,AMAZON FEE,1,2010-12-07 15:08:00,13541.33,,United Kingdom,2010-12-07,2010-12,2010-12-06/2010-12-12,13541.33
537638,DOT,DOTCOM POSTAGE,1,2010-12-07 15:28:00,836.14,,United Kingdom,2010-12-07,2010-12,2010-12-06/2010-12-12,836.14
537641,DOT,DOTCOM POSTAGE,1,2010-12-07 15:32:00,229.74,,United Kingdom,2010-12-07,2010-12,2010-12-06/2010-12-12,229.74
537642,DOT,DOTCOM POSTAGE,1,2010-12-07 15:33:00,448.0,,United Kingdom,2010-12-07,2010-12,2010-12-06/2010-12-12,448.0
537643,DOT,DOTCOM POSTAGE,1,2010-12-07 15:34:00,593.15,,United Kingdom,2010-12-07,2010-12,2010-12-06/2010-12-12,593.15
537645,DOT,DOTCOM POSTAGE,1,2010-12-07 15:34:00,607.96,,United Kingdom,2010-12-07,2010-12,2010-12-06/2010-12-12,607.96
537666,DOT,DOTCOM POSTAGE,1,2010-12-07 18:36:00,701.95,,United Kingdom,2010-12-07,2010-12,2010-12-06/2010-12-12,701.95
537673,POST,POSTAGE,7,2010-12-08 09:49:00,18.0,12709.0,Germany,2010-12-08,2010-12,2010-12-06/2010-12-12,126.0
537693,POST,POSTAGE,1,2010-12-08 10:45:00,18.0,12441.0,France,2010-12-08,2010-12,2010-12-06/2010-12-12,18.0
537800,M,MANUAL,12,2010-12-08 13:08:00,0.19,12748.0,United Kingdom,2010-12-08,2010-12,2010-12-06/2010-12-12,2.2800000000000002
537804,M,MANUAL,12,2010-12-08 13:17:00,2.95,12748.0,United Kingdom,2010-12-08,2010-12,2010-12-06/2010-12-12,35.400000000000006
537804,M,MANUAL,12,2010-12-08 13:17:00,0.19,12748.0,United Kingdom,2010-12-08,2010-12,2010-12-06/2010-12-12,2.2800000000000002
537818,POST,POSTAGE,6,2010-12-08 13:53:00,28.0,12766.0,Portugal,2010-12-08,2010-12,2010-12-06/2010-12-12,168.0
537823,DOT,DOTCOM POSTAGE,1,2010-12-08 14:25:00,729.42,,United Kingdom,2010-12-08,2010-12,2010-12-06/2010-12-12,729.42
537892,POST,POSTAGE,1,2010-12-09 10:13:00,18.0,12481.0,Germany,2010-12-09,2010-12,2010-12-06/2010-12-12,18.0
537894,POST,POSTAGE,2,2010-12-09 10:16:00,18.0,12621.0,Germany,2010-12-09,2010-12,2010-12-06/2010-12-12,36.0
537897,POST,POSTAGE,1,2010-12-09 10:37:00,18.0,12683.0,France,2010-12-09,2010-12,2010-12-06/2010-12-12,18.0
537915,POST,POSTAGE,1,2010-12-09 10:55:00,28.0,12797.0,Portugal,2010-12-09,2010-12,2010-12-06/2010-12-12,28.0
537967,POST,POSTAGE,1,2010-12-09 11:31:00,18.0,12494.0,France,2010-12-09,2010-12,2010-12-06/2010-12-12,18.0
537995,POST,POSTAGE,2,2010-12-09 11:39:00,18.0,12712.0,Germany,2010-12-09,2010-12,2010-12-06/2010-12-12,36.0
538003,POST,POSTAGE,8,2010-12-09 12:05:00,18.0,12429.0,Denmark,2010-12-09,2010-12,2010-12-06/2010-12-12,144.0
538008,POST,POSTAGE,5,2010-12-09 12:17:00,18.0,12683.0,France,2010-12-09,2010-12,2010-12-06/2010-12-12,90.0
