stock_code,description_count,total_units,total_revenue
23236,4,2493,7059.97
23196,4,1872,2842.24
23413,3,173,909.3100000000001
23203,3,20485,42030.340000000004
23366,3,2249,1667.95
23231,3,7277,3008.34
17107D,3,170,433.5
23240,3,4177,17000.170000000002
22937,3,972,2563.24
23126,3,1109,5532.04
23396,3,654,2750.5299999999997
23244,3,936,1733.9799999999998
23370,3,1550,2151.6
23131,3,942,3835.9800000000005
23535,3,1324,8440.24
22776,3,1244,13078.779999999999
23209,3,13170,21418.82
71143,2,178,196.35999999999999
23438,2,1809,2209.92
22804,2,3131,8102.950000000001
23380,2,2344,983.5
23454,2,174,733.2
22812,2,1725,3608.2999999999997
23388,2,821,3432.09
23389,2,1115,4751.49
22813,2,2372,4640.78
23390,2,747,3025.59
23391,2,389,1628.17
20914,2,6361,18357.75
22285,2,870,1493.2499999999998
22286,2,1123,1022.4899999999999
21818,2,2737,1320.41
22287,2,794,716.8599999999999
23437,2,1939,2373.63
23436,2,1979,2367.39
21811,2,4850,2682.4
23402,2,296,1147.28
71053,2,1944,8419.32
22837,2,1173,5657.93
22849,2,323,5027.73
71477,2,6748,20650.66
22847,2,905,14389.34
23103,2,4072,6846.159999999999
23360,2,1182,2286.4
22896,2,1584,4043.3599999999997
22972,2,1795,3067.64
22965,2,1371,2910.61
79030G,2,1403,733.49
79051A,2,823,289.54999999999995
23299,2,1012,3772.88
20725,2,19432,35862.36
23298,2,8466,43148.18
23292,2,2181,2703.33
23456,2,158,634.1
22199,2,467,1926.59
22197,2,56898,51334.47
22985,2,3782,1500.44
22986,2,4105,1712.1
23283,2,994,7003.38
23282,2,812,757.86
79030D,2,581,350.22999999999996
22963,2,3290,2777.99
23306,2,2808,4123.38
22953,2,502,647.11
22952,2,16056,9512.07
22950,2,5209,7131.549999999999
22949,2,956,1417.55
21928,2,10468,21144.41
22939,2,469,2392.67
23324,2,399,816.0400000000001
23325,2,462,740.9399999999999
22932,2,884,2000.88
22246,2,431,962.77
21899,2,2679,1757.97
23342,2,373,3176.41
22268,2,2009,802.34
23359,2,990,1866.4599999999998
23455,2,207,569.4300000000001
23466,2,55,498.03
23457,2,112,549.88
21232,2,11842,16248.800000000001
22632,2,4468,8982.830000000002
22466,2,3069,5605.79
85144,2,220,582.7
84946,2,19209,25843.38
44235,2,538,200.04
21243,2,2285,3827.16
85184C,2,1652,2985.84
23691,2,1175,481.5
84906,2,35,123.02
85185B,2,297,900.3900000000001
47310M,2,410,570.4499999999999
22416,2,868,1210.82
23545,2,2480,1025.6
23543,2,1236,7010.76
85123A,2,37641,104462.75
84997A,2,2573,9933.880000000001
23462,2,80,1607.04
22502,2,1937,51408.770000000004
35817P,2,18,19.86
35916B,2,91,76.68
22584,2,2330,5946.96
21507,2,3320,1420.24
22595,2,6788,5720.21
22597,2,2821,1247.49
22602,2,2215,2023.87
84997B,2,4214,16045.970000000001
84997d,2,319,2657.79
84997c,2,284,2374.4399999999996
84997b,2,364,3052.9199999999996
84997a,2,106,878.7399999999999
84997D,2,5103,19728.2
84997C,2,3783,14497.03
23542,2,506,3800.16
23541,2,872,6823.91
23540,2,150,947.0600000000001
23484,2,185,547.35
23497,2,2558,3656.02
84828,2,1099,1536.3600000000001
23489,2,913,2709.23
90014A,2,27,217.59
90014B,2,17,158.73999999999998
90014C,2,5,43.199999999999996
21112,2,1359,2885.13
23539,2,247,1227.95
21109,2,936,2763.2
22777,2,352,2951.53
22778,2,808,3146.82
22785,2,245,1087.57
23280,2,2023,1614.16
23465,2,29,247.63
23502,2,714,896.41
22383,2,12518,22486.34
21175,2,12207,27029.97
23521,2,413,793.37
23522,2,354,727.4399999999999
23523,2,360,1173.8100000000002
23524,2,481,1557.63
23525,2,582,1863.8200000000002
23526,2,1012,6021.4
23527,2,420,1428.56
23528,2,479,1504.49
23529,2,637,2011.9900000000002
23530,2,1056,4436.27
22407,2,94,99.28
23534,2,1387,8608.9
23536,2,626,3442.13
23537,2,111,581.13
23281,2,1280,1000.82
71459,2,13605,10858.89
23081,2,483,4038.25
23057,2,773,1768.67
82001s,2,122,910.12
82001S,2,1582,5750.21
23127,2,736,3759.0
23128,2,448,2258.6600000000003
81950V,2,20,8.6
23047,2,58,333.5
23044,2,101,423.29
23043,2,81,543.51
23229,2,1869,6739.71
23041,2,272,1178.48
23232,2,8526,3436.92
23130,2,962,3988.98
23035,2,2191,3199.99
23235,2,736,1950.66
23032,2,2328,3853.68
23031,2,1278,2152.2999999999997
23169,2,1556,6662.84
23168,2,3291,4558.67
23029,2,1352,2303.9199999999996
23028,2,1369,2377.1299999999997
84247E,2,140,384.09000000000003
23237,2,1053,4274.39
84228,2,297,124.08999999999999
23056,2,963,2898.12
23061,2,1015,1332.68
23145,2,2084,1979.4799999999998
23065,2,273,3427.44
23091,2,580,3656.32
23086,2,1225,1451.43
23205,2,5857,5726.38
23197,2,1478,2303.5
23194,2,1835,4077.37
82600,2,6013,12833.18
23191,2,2201,3628.8899999999994
22135,2,567,322.38
22134,2,889,419.0
23188,2,3471,6447.7699999999995
23104,2,118,1405.42
16156L,2,475,199.5
23106,2,291,815.59
23107,2,359,1009.51
23109,2,2386,6835.02
23075,2,472,1960.3000000000002
22129,2,1188,1226.4199999999998
82486,2,2136,18343.92
23212,2,2296,2860.89
23071,2,315,1205.1
23214,2,789,1695.04
23068,2,809,1966.93
23066,2,259,2137.81
20622,2,185,303.7
23045,2,118,497.9800000000001
23148,2,2139,1816.31
23249,2,842,1426.1
22999,2,2894,1252.59
23015,2,40,338.38
23020,2,180,2191.84
23250,2,1179,1531.03
23271,2,1731,1496.8899999999999
23251,2,1712,2105.75
22179,2,966,7226.2
23256,2,2113,8667.07
23254,2,1703,6903.110000000001
23252,2,603,2261.61
23253,2,258,3848.8599999999997
35924,1,820,1484.3
35922,1,28,138.6
35933,1,226,92.21000000000001
82616C,1,324,501.44
47348A,1,97,50.31
47016,1,2,4.2
47344B,1,44,43.66
47021G,1,582,309.29999999999995
47341B,1,45,56.25
82616B,1,343,502.74
82615,1,36,91.8
47341A,1,27,38.75
84006,1,918,848.6999999999999
35923,1,1318,690.52
47343A,1,159,145.17
37342,1,1570,1489.01
84016,1,27,12.16
84012,1,1265,1283.99
47013C,1,52,12.969999999999999
35954,1,1245,350.48
46118,1,232,317.16999999999996
46126A,1,52,69.84
46138B,1,43,43.15
46775D,1,60,720.93
46776A,1,155,651.95
46776B,1,161,679.67
46776C,1,117,492.79
46776D,1,89,378.29
46776E,1,67,288.43
46776F,1,210,883.12
84029E,1,4734,22025.73
46776a,1,5,20.65
35953,1,3581,1633.6699999999998
46776b,1,1,4.13
46776e,1,1,4.13
46776f,1,7,28.91
82613c,1,5,12.399999999999999
47013A,1,14,3.0399999999999996
47351B,1,86,234.5
82613a,1,1,2.46
47367B,1,112,376.27000000000004
82599,1,508,1217.73
84078A,1,415,16363.300000000001
47421,1,994,393.0
47422,1,617,246.18
35909B,1,8,23.6
47469,1,469,238.60999999999999
47471,1,290,189.88
47480,1,746,1274.1699999999998
47481,1,225,171.79
47503A,1,2734,1254.1200000000001
47503H,1,100,110.86
47503J,1,3,23.85
47504H,1,978,964.38
47504K,1,2018,2048.66
47518F,1,827,113.64
47518f,1,5,20.73
47556B,1,2600,6045.0
47559B,1,2077,2584.9
35909A,1,8,23.6
47559b,1,103,342.65
35910A,1,20,39.0
35910B,1,13,25.349999999999998
82613b,1,4,9.94
35911A,1,319,292.07
46000U,1,107,133.75
35921,1,68,133.23
35920,1,72,104.84
82613D,1,696,534.24
35916C,1,106,107.72
82613C,1,537,443.38
47369A,1,33,93.19
82613B,1,583,500.24
82613A,1,71,92.38
35916A,1,87,67.39
82605,1,14,29.400000000000002
35915C,1,315,316.46
47369B,1,35,97.13
47420,1,196,37.24
35915B,1,220,257.21999999999997
35914,1,195,218.81
35913B,1,36,35.48
35912B,1,252,301.26
35911B,1,119,100.76
46115B,1,12,2.2800000000000002
46000M,1,1021,1582.55
46000S,1,1556,2256.2
35972,1,96,120.0
37444C,1,21,42.27
35970,1,5050,9512.73
37446,1,1354,1976.09
37447,1,820,1313.28
37448,1,1451,2206.63
37449,1,563,5117.29
37450,1,714,2117.54
37461,1,1,1.25
37462E,1,36,13.1
37464,1,3,3.75
37467,1,159,130.26999999999998
37468,1,64,32.03
37471,1,29,30.43
84077,1,54951,13814.009999999998
37474,1,1,9.95
35968,1,163,82.1
37475,1,70,661.9799999999999
37476,1,37,399.02
35967,1,485,252.33
35971,1,462,600.93
37444B,1,4,11.8
46000R,1,103,149.35
37444A,1,53,66.35000000000001
37343,1,72,123.29999999999998
84051,1,281,215.21
84050,1,3229,4753.53
37351,1,10,9.06
37370,1,2567,3839.01
37379A,1,6,7.5
84033,1,23,37.95
84032B,1,936,2421.59
84032A,1,1003,3384.98
84031b,1,1,16.63
84031a,1,1,16.63
84031B,1,303,1435.72
37333,1,21,120.99
84031A,1,430,1959.91
37330,1,6,2.34
37327,1,1578,840.0799999999999
84030e,1,108,877.76
37413,1,703,284.49
37423,1,78,33.18
37479B,1,131,78.09
37479P,1,163,142.23
37482P,1,494,349.35
37487B,1,68,19.72
40003,1,155,179.23
40005B,1,12,10.2
40016,1,5556,2136.34
40046A,1,50,62.5
44089A,1,15,6.3
44089C,1,24,10.08
44091A,1,9,3.78
44092B,1,14,11.899999999999999
44092C,1,20,17.0
44228,1,36,30.599999999999998
44234,1,693,154.77
84029G,1,3319,16148.04
44236,1,52,56.52
44242A,1,12,9.48
44242B,1,52,50.28
44265,1,2,8.5
45013,1,3,8.850000000000001
37340,1,2544,1695.86
46000P,1,18,76.5
40001,1,821,675.2299999999999
37509,1,2,5.1
35957,1,688,361.81
35966,1,27,10.260000000000002
37488A,1,28,10.92
37489A,1,33,14.43
37489B,1,31,16.77
37489C,1,23,13.65
37489D,1,40,17.16
37491A,1,6,19.81
37491B,1,4,6.6
37491C,1,8,13.2
37491D,1,4,9.879999999999999
37501,1,133,906.83
37495,1,440,1622.24
84030E,1,1497,6414.69
35965,1,366,551.13
35964,1,783,404.08
35961,1,2986,2629.81
82583,1,7258,16946.260000000002
37500,1,380,2360.68
35958,1,12,10.2
47563A,1,285,551.51
79161A,1,2,5.9
47566,1,18283,99445.23
72799F,1,144,421.13000000000005
72800C,1,130,259.71999999999997
72800D,1,87,226.67
72800E,1,538,1205.64
72801C,1,145,180.65
72801D,1,75,113.21
72801G,1,45,57.46
72801c,1,39,95.94
72801d,1,75,184.7
72802A,1,323,1329.91
72802B,1,1028,1993.48
72802C,1,1395,2688.19
72802a,1,7,58.029999999999994
72802c,1,1,8.29
72803A,1,529,722.47
72803b,1,1,8.47
72807A,1,393,1845.57
72807B,1,395,1822.21
72807C,1,721,3145.05
72807a,1,8,66.32
72807b,1,4,33.16
72807c,1,5,41.449999999999996
72800B,1,142,285.7
72799E,1,451,916.9900000000001
72812,1,34,116.06
72799C,1,81,129.47
72140E,1,31,26.349999999999998
81950B,1,116,33.64
79406,1,144,34.12
72225C,1,624,165.6
72232,1,3317,630.23
72349B,1,729,1486.69
72349b,1,159,658.51
72351A,1,1264,2498.75
72351B,1,2096,4007.85
72351a,1,15,62.269999999999996
72369A,1,30,39.92
72586,1,691,317.83
72598,1,607,605.89
72709,1,44,37.4
79403,1,95,85.52
72741,1,5958,8196.0
72760B,1,409,4145.389999999999
