stock_code,description,first_sale_date,last_sale_date,total_units,total_revenue,avg_unit_price
10002,INFLATABLE POLITICAL GLOBE,2010-12-01 08:45:00,2011-04-18 12:56:00,860,759.89,1.086619718309859
10080,GROOVY CACTUS INFLATABLE,2011-02-27 13:47:00,2011-11-21 17:04:00,303,119.08999999999999,0.41090909090909095
10120,DOGGY RUBBER,2010-12-03 11:19:00,2011-12-04 13:15:00,192,40.32,0.21
10123C,HEARTS WRAPPING TAPE,2010-12-03 11:19:00,2011-03-31 13:14:00,5,3.25,0.65
10124A,SPOTS ON RED BOOKCOVER TAPE,2010-12-06 13:13:00,2011-11-06 13:00:00,16,6.72,0.42000000000000004
10124G,ARMY CAMO BOOKCOVER TAPE,2010-12-02 13:14:00,2011-11-06 13:00:00,17,7.14,0.42
10125,MINI FUNKY DESIGN TAPES,2010-12-01 12:23:00,2011-12-09 10:13:00,1295,993.99,0.8597849462365591
10133,COLOURING PENCILS BROWN TUBE,2010-12-01 12:15:00,2011-09-07 10:07:00,2856,1539.6,0.6525510204081633
10135,COLOURING PENCILS BROWN TUBE,2010-12-01 17:06:00,2011-12-08 09:28:00,2229,2204.89,1.4128813559322033
11001,ASSTD DESIGN RACING CAR PEN,2010-12-01 14:32:00,2011-12-06 16:26:00,1615,2389.44,1.89
15030,FAN BLACK FRAME,2011-03-24 13:37:00,2011-12-06 12:21:00,143,41.47,0.29
15034,PAPER POCKET TRAVELING FAN,2010-12-05 13:55:00,2011-12-08 09:28:00,6591,840.0200000000001,0.3739855072463768
15036,ASSORTED COLOURS SILK FAN,2010-12-02 15:03:00,2011-12-09 10:03:00,23826,18569.84,1.0677649325626204
15039,SANDALWOOD FAN,2010-12-05 12:43:00,2011-12-09 10:03:00,2090,1978.6399999999999,1.2422758620689656
15044A,PINK PAPER PARASOL,2010-12-21 14:26:00,2011-12-05 17:17:00,458,1439.0200000000002,3.6700000000000004
15044B,BLUE PAPER PARASOL,2010-12-01 12:54:00,2011-09-28 15:50:00,321,946.83,3.506666666666667
15044C,PURPLE PAPER PARASOL,2010-12-06 10:08:00,2011-12-06 14:23:00,313,1022.9900000000001,3.851818181818182
15044D,RED PAPER PARASOL,2010-12-06 16:57:00,2011-12-05 16:03:00,644,1819.76,3.3333333333333335
15056BL,EDWARDIAN PARASOL BLACK,2010-12-01 09:41:00,2011-12-09 10:20:00,2844,15828.84,6.430311526479751
15056N,EDWARDIAN PARASOL NATURAL,2010-12-01 09:41:00,2011-12-09 10:20:00,3950,22152.690000000002,6.94886462882096
15056P,EDWARDIAN PARASOL PINK,2010-12-01 16:01:00,2011-12-08 13:50:00,776,4354.92,6.352222222222222
15056bl,EDWARDIAN PARASOL BLACK,2010-12-03 11:13:00,2011-12-09 10:26:00,87,1086.88,12.489354838709678
15056n,EDWARDIAN PARASOL NATURAL,2010-12-07 15:32:00,2011-11-30 14:11:00,127,1585.2800000000002,12.484761904761905
15056p,EDWARDIAN PARASOL PINK,2010-12-03 11:13:00,2011-12-05 11:48:00,33,412.48,12.5
15058A,BLUE POLKADOT GARDEN PARASOL,2010-12-10 11:11:00,2011-11-23 12:48:00,200,1668.49,9.208988764044944
15058B,PINK POLKADOT GARDEN PARASOL,2010-12-10 13:27:00,2011-11-17 12:55:00,228,1885.27,9.890927835051546
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-02-03 14:41:00,2011-12-09 10:03:00,240,1429.82,9.33361111111111
15060B,FAIRY CAKE DESIGN UMBRELLA,2010-12-02 14:30:00,2011-11-18 14:14:00,451,1807.55,4.993053435114504
15060b,FAIRY CAKE DESIGN UMBRELLA,2011-09-20 14:46:00,2011-11-20 13:58:00,3,24.869999999999997,8.29
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2010-12-09 14:10:00,2011-12-09 08:48:00,2892,360.71,0.13614285714285712
16010,FOLDING CAMPING SCISSOR W/KNIF & S,2010-12-05 16:41:00,2011-03-28 14:27:00,30,3.5999999999999996,0.12
16011,ANIMAL STICKERS,2010-12-05 12:53:00,2011-12-07 12:41:00,1749,367.29,0.21
16012,FOOD/DRINK SPONGE STICKERS,2010-12-02 13:32:00,2011-12-05 14:49:00,1220,256.2,0.21
16014,SMALL CHINESE STYLE SCISSOR,2010-12-01 12:15:00,2011-12-09 08:48:00,13328,4335.76,0.4014814814814815
16015,MEDIUM CHINESE STYLE SCISSOR,2010-12-09 14:10:00,2011-11-17 17:34:00,662,289.98,0.48833333333333334
16016,LARGE CHINESE STYLE SCISSOR,2010-12-01 12:15:00,2011-12-09 12:31:00,1273,1053.45,0.8460000000000001
16020C,CLEAR STATIONERY BOX SET,2011-03-02 17:33:00,2011-07-05 17:09:00,84,69.89999999999999,0.8335294117647059
16033,MINI HIGHLIGHTER PENS,2010-12-12 10:48:00,2011-02-17 15:40:00,840,100.79999999999998,0.12
16043,POP ART PUSH DOWN RUBBER,2011-06-07 10:44:00,2011-06-09 19:33:00,98,11.759999999999998,0.12
16045,POPART WOODEN PENCILS ASST,2010-12-22 14:28:00,2011-12-05 12:08:00,8900,380.0,0.043478260869565216
16046,TEATIME PEN CASE & PENS,2010-12-02 11:35:00,2011-11-28 11:26:00,65,55.25,0.85
16048,TEATIME ROUND PENCIL SHARPENER,2010-12-10 09:51:00,2011-12-08 09:28:00,1460,205.29999999999998,0.3280882352941176
16049,TEATIME GEL PENS ASST,2011-04-26 11:51:00,2011-05-25 11:44:00,504,82.08,0.24
16052,TEATIME PUSH DOWN RUBBER,2010-12-07 15:28:00,2011-06-09 19:33:00,479,115.3,0.5892307692307692
16054,POPART RECT PENCIL SHARPENER ASST,2010-12-10 11:33:00,2011-12-04 13:59:00,1166,140.52,0.1290909090909091
16151A,FLOWERS HANDBAG BLUE AND ORANGE,2011-05-11 12:32:00,2011-05-25 10:02:00,49,61.25,1.25
16156L,"WRAP, CAROUSEL",2011-01-07 09:40:00,2011-12-02 10:22:00,475,199.5,0.42
16156S,WRAP PINK FAIRY CAKES,2010-12-02 13:44:00,2011-12-08 12:29:00,5800,2331.0,0.4168862275449102
16161G,WRAP BAD HAIR DAY,2011-03-15 11:45:00,2011-11-24 11:19:00,700,70.0,0.1
16161M,WRAP  PINK FLOCK,2010-12-02 18:15:00,2010-12-02 18:15:00,25,10.5,0.42
16161P,WRAP ENGLISH ROSE,2010-12-02 18:08:00,2011-12-07 11:43:00,7201,2980.42,0.41943548387096774
16161U,WRAP SUKI AND FRIENDS,2010-12-05 14:45:00,2011-12-02 16:34:00,4075,1687.5,0.41955223880597015
16162L,THE KING GIFT BAG,2011-01-11 14:46:00,2011-09-13 11:14:00,20,13.0,0.65
16162M,THE KING GIFT BAG 25X24X12CM,2011-07-19 12:47:00,2011-11-27 13:26:00,28,11.76,0.42
16168M,FUNKY MONKEY GIFT BAG MEDIUM,2010-12-01 17:06:00,2011-12-08 16:22:00,371,173.12,0.6314634146341463
16169E,WRAP 50'S  CHRISTMAS,2011-07-21 13:06:00,2011-12-09 10:20:00,4563,1892.46,0.41919999999999996
16169K,WRAP FOLK ART,2010-12-06 15:54:00,2011-09-28 16:07:00,200,84.0,0.42
16169M,WRAP DAISY CARPET,2011-01-05 13:40:00,2011-12-02 10:22:00,660,277.2,0.42
16169N,WRAP BLUE RUSSIAN FOLKART,2010-12-06 12:06:00,2010-12-06 12:06:00,25,10.5,0.42
16169P,WRAP GREEN RUSSIAN FOLKART,2010-12-10 11:24:00,2010-12-19 11:35:00,50,21.0,0.42
16202A,PASTEL PINK PHOTO ALBUM,2011-03-11 14:35:00,2011-04-17 13:43:00,7,3.5,0.5
16202B,PASTEL BLUE PHOTO ALBUM,2011-04-17 13:43:00,2011-04-19 14:49:00,29,14.5,0.5
16202E,BLACK PHOTO ALBUM,2011-04-04 16:36:00,2011-04-17 13:43:00,15,7.5,0.5
16206B,RED PURSE WITH PINK HEART,2010-12-23 16:06:00,2011-01-26 12:29:00,7,8.75,1.25
16207A,PINK STRAWBERRY HANDBAG,2010-12-19 14:41:00,2011-11-06 16:14:00,60,163.1,2.751764705882353
16207B,PINK HEART RED HANDBAG,2011-01-11 12:41:00,2011-08-30 10:49:00,29,76.14,2.6994444444444445
16216,LETTER SHAPE PENCIL SHARPENER,2010-12-12 13:47:00,2011-12-07 12:41:00,3333,234.0,0.15244444444444444
16218,CARTOON  PENCIL SHARPENERS,2010-12-03 11:36:00,2011-12-09 10:03:00,3821,283.31,0.26984375
16219,HOUSE SHAPE PENCIL SHARPENER,2010-12-07 15:28:00,2011-12-08 09:20:00,3048,407.71999999999997,0.5172
16225,RATTLE SNAKE EGGS,2010-12-03 11:36:00,2011-12-09 10:03:00,813,689.35,1.4634313725490198
16235,RECYCLED PENCIL WITH RABBIT ERASER,2010-12-02 12:16:00,2011-12-09 10:03:00,3068,695.4,0.3164880952380952
16236,KITTY PENCIL ERASERS,2010-12-01 14:32:00,2011-12-08 11:43:00,1438,320.09,0.30455882352941177
16237,SLEEPING CAT ERASERS,2010-12-01 11:41:00,2011-12-09 10:03:00,4991,1047.93,0.29846938775510207
16238,PARTY TIME PENCIL ERASERS,2010-12-01 11:45:00,2011-12-08 11:43:00,1396,321.67,0.3123880597014925
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,2011-04-26 16:45:00,2011-05-11 15:16:00,7,7.85,1.225
16248B,BLUE HOLE PUNCH,2011-03-07 17:52:00,2011-10-30 15:55:00,13,16.25,1.25
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,2011-06-15 11:56:00,2011-11-30 14:17:00,40,42.58,1.3088235294117647
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,2010-12-01 12:23:00,2011-12-08 09:39:00,472,178.97,0.5913559322033899
16259,PIECE OF CAMO STATIONERY SET,2011-03-17 15:03:00,2011-11-13 11:55:00,3380,326.56,0.0967741935483871
