country,total_units,total_revenue,order_count,unique_skus
United Kingdom,4639181,8737732.14,17904,3911
Netherlands,200258,283889.34,93,781
EIRE,147002,276090.86,284,1967
Germany,118032,205381.15,443,1662
France,111229,184679.0,383,1540
Australia,83890,138103.81,56,598
Spain,27724,55706.56,88,1090
Switzerland,30515,53065.6,50,977
Japan,26016,37416.37,19,215
Belgium,22962,36927.34,98,776
Sweden,36037,36828.83,34,259
Norway,19276,32454.64,32,589
Portugal,16126,26951.11,50,704
Channel Islands,9484,20147.54,25,429
Finland,10608,18344.88,40,456
Denmark,8193,18211.34,18,250
Italy,8067,15820.24,35,472
Cyprus,6338,13167.16,14,496
Hong Kong,4708,9744.19,7,189
Singapore,5234,9120.39,4,177
Austria,4844,8742.68,17,305
Israel,4406,8129.41,8,254
Poland,3675,6974.65,19,203
Unspecified,3295,4740.94,13,344
Greece,1550,4425.52,5,137
Iceland,2458,4310.0,7,103
USA,2458,3580.39,5,163
Canada,2762,3115.44,5,146
Malta,958,2070.59,5,98
United Arab Emirates,981,1864.78,2,67
Lebanon,386,1693.88,1,45
Lithuania,652,1661.06,4,29
European Community,490,1159.25,3,49
Brazil,356,1143.6,1,32
RSA,351,1002.31,1,57
Czech Republic,670,786.74,2,24
Bahrain,314,754.14,3,16
Saudi Arabia,80,145.92,1,9
