stock_code,description,total_units,total_revenue,order_count,active_months,avg_unit_price
84227,HEN HOUSE W CHICK IN NEST,1,0.42,1,1,0.42
23366,SET 12 COLOURING PENCILS DOILEY,1,0.65,1,1,0.65
51014c,"FEATHER PEN,COAL BLACK",1,0.83,1,1,0.83
90084,PINK CRYSTAL GUITAR PHONE CHARM,1,0.85,1,1,0.85
21009,ETCHED GLASS STAR TREE DECORATION,1,1.25,1,1,1.25
23370,SET 36 COLOURING PENCILS DOILEY,1,1.25,1,1,1.25
35597A,DUSTY PINK CHRISTMAS TREE 30CM,1,1.25,1,1,1.25
35597B,BLACKCHRISTMAS TREE 30CM,1,1.25,1,1,1.25
37461,FUNKY MONKEY MUG,1,1.25,1,1,1.25
84569C,PACK 4 FLOWER/BUTTERFLY PATCHES,1,1.25,1,1,1.25
84743C,ORANGE FELT VASE + FLOWERS,1,1.25,1,1,1.25
84977,WIRE FLOWER T-LIGHT HOLDER,1,1.25,1,1,1.25
23664,FLOWER SHOP DESIGN MUG,1,1.65,1,1,1.65
84550,CROCHET LILAC/RED BEAR KEYRING,1,1.65,1,1,1.65
90092,BLUE CRYSTAL BOOT PHONE CHARM,1,1.66,1,1,1.66
21491,SET OF THREE VINTAGE GIFT WRAPS,1,1.95,1,1,1.95
22146,EASTER CRAFT IVY WREATH WITH CHICK,1,1.95,1,1,1.95
22323,PINK POLKADOT KIDS BAG,1,1.95,1,1,1.95
20860,GOLD COSMETICS BAG WITH BUTTERFLY,1,2.1,1,1,2.1
21414,SCALLOP SHELL SOAP DISH,1,2.1,1,1,2.1
47579,TEA TIME BREAKFAST BASKET,1,2.1,1,1,2.1
85170A,SET/6 IVORY BIRD T-LIGHT CANDLES,1,2.1,1,1,2.1
77079,DOLPHIN WINDMILL,1,2.12,1,1,2.12
82613a,"METAL SIGN,CUPCAKE SINGLE HOOK",1,2.46,1,1,2.46
84510e,SET OF 4 GREEN CAROUSEL COASTERS,1,2.46,1,1,2.46
84596l,BISCUITS SMALL BOWL LIGHT BLUE,1,2.46,1,1,2.46
85049c,ROMANTIC PINKS RIBBONS,1,2.46,1,1,2.46
85179a,GREEN BITTY LIGHT CHAIN,1,2.46,1,1,2.46
90037A,TINY CRYSTAL BRACELET RED,1,2.48,1,1,2.48
35609A,PINK FEATHER CHRISTMAS DECORATION,1,2.51,1,1,2.51
90100,NECKLACE+BRACELET SET PINK DAISY,1,2.55,1,1,2.55
m,MANUAL,1,2.55,1,1,2.55
90183c,BLACK DROP EARRINGS W LONG BEADS,1,2.9,1,1,2.9
23602,SET 10 CARDS 3 WISE MEN 17107,1,2.91,1,1,2.91
23609,SET 10 CARDS SNOWY ROBIN 17099,1,2.91,1,1,2.91
23628,SET 10 CARDS TRIANGLE ICONS  17220,1,2.91,1,1,2.91
90187A,BLUE DROP EARRINGS W BEAD CLUSTER,1,3.32,1,1,3.32
23643,SET 10 CARDS CHRISTMAS BAUBLE 16954,1,3.33,1,1,3.33
21160,KEEP OUT GIRLS DOOR HANGER,1,3.36,1,1,3.36
22528,GARDENERS KNEELING PAD,1,3.36,1,1,3.36
85119,WATERING CAN SINGLE HOOK PISTACHIO,1,3.36,1,1,3.36
90126A,PINK BERTIE MOBILE PHONE CHARM,1,3.36,1,1,3.36
90025B,BAROQUE BUTTERFLY EARRINGS RED,1,3.73,1,1,3.73
90025E,BAROQUE BUTTERFLY EARRINGS MONTANA,1,3.73,1,1,3.73
46776b,WOVEN BERRIES CUSHION COVER,1,4.13,1,1,4.13
46776e,WOVEN CANDY CUSHION COVER,1,4.13,1,1,4.13
47591b,SCOTTIES CHILDRENS APRON,1,4.13,1,1,4.13
23391,I LOVE LONDON MINI RUCKSACK,1,4.15,1,1,4.15
20703,BLUE PADDED SOFT MOBILE,1,4.25,1,1,4.25
22199,FRYING PAN RED POLKADOT,1,4.25,1,1,4.25
