invoice_month,total_units,total_revenue,order_count,unique_skus
2010-12,357542,776317.5,1551,2783
2011-01,386745,670639.46,1081,2569
2011-02,282635,508081.54,1093,2395
2011-03,376198,690591.84,1440,2499
2011-04,307665,515899.66,1236,2455
2011-05,394667,740472.33,1668,2454
2011-06,388141,738233.99,1525,2622
2011-07,399303,688802.67,1452,2667
2011-08,420710,735770.22,1341,2593
2011-09,568720,1029245.38,1819,2729
2011-10,619613,1104063.97,2006,2853
2011-11,746975,1453265.98,2751,2935
2011-12,312652,614699.25,816,2466
