stock_code,description,sku_class,avg_monthly_units,current_inventory,inventory_coverage_days,inventory_risk,warehouse_strategy
85231b,CINAMMON SET OF 9 T-LIGHTS,Long-Tail,1.0,119,3570.0,Overstock Risk,Overstock Review / Reduce Replenishment
23602,SET 10 CARDS 3 WISE MEN 17107,Long-Tail,1.0,119,3570.0,Overstock Risk,Overstock Review / Reduce Replenishment
35650,VINTAGE BEAD PINK JEWEL STAND,Long-Tail,1.0,116,3480.0,Overstock Risk,Overstock Review / Reduce Replenishment
90034,WHITE SILVER NECKLACE SHELL GLASS,Long-Tail,1.0,114,3420.0,Overstock Risk,Overstock Review / Reduce Replenishment
84731,3 BIRDS CANVAS SCREEN,Long-Tail,1.0,113,3390.0,Overstock Risk,Overstock Review / Reduce Replenishment
90025E,BAROQUE BUTTERFLY EARRINGS MONTANA,Long-Tail,1.0,112,3360.0,Overstock Risk,Overstock Review / Reduce Replenishment
21009,ETCHED GLASS STAR TREE DECORATION,Long-Tail,1.0,112,3360.0,Overstock Risk,Overstock Review / Reduce Replenishment
23638,SET 10 CARDS ROBIN WATERPUMP  17096,Long-Tail,1.0,111,3330.0,Overstock Risk,Overstock Review / Reduce Replenishment
84617,NEW BAROQUE BLACK BOXES,Long-Tail,1.0,110,3300.0,Overstock Risk,Overstock Review / Reduce Replenishment
21160,KEEP OUT GIRLS DOOR HANGER,Long-Tail,1.0,109,3270.0,Overstock Risk,Overstock Review / Reduce Replenishment
90011E,AMBER CRYSTAL DROP EARRINGS,Long-Tail,1.0,108,3240.0,Overstock Risk,Overstock Review / Reduce Replenishment
21839,MUMMY MOUSE RED GINGHAM RIBBON,Long-Tail,1.0,107,3210.0,Overstock Risk,Overstock Review / Reduce Replenishment
51014c,"FEATHER PEN,COAL BLACK",Long-Tail,1.0,107,3210.0,Overstock Risk,Overstock Review / Reduce Replenishment
85179a,GREEN BITTY LIGHT CHAIN,Long-Tail,1.0,107,3210.0,Overstock Risk,Overstock Review / Reduce Replenishment
84661a,WHITE SQUARE TABLE CLOCK,Long-Tail,1.0,107,3210.0,Overstock Risk,Overstock Review / Reduce Replenishment
22323,PINK POLKADOT KIDS BAG,Long-Tail,1.0,105,3150.0,Overstock Risk,Overstock Review / Reduce Replenishment
85119,WATERING CAN SINGLE HOOK PISTACHIO,Long-Tail,1.0,102,3060.0,Overstock Risk,Overstock Review / Reduce Replenishment
90152A,SILVER/NAT SHELL NECKLACE W PENDANT,Long-Tail,1.0,101,3030.0,Overstock Risk,Overstock Review / Reduce Replenishment
