stock_code,description,sku_class,avg_monthly_units,current_inventory,lead_time_days,safety_stock,reorder_point,recommended_replenishment_qty,inventory_risk,warehouse_strategy
23843,"PAPER CRAFT , LITTLE BIRDIE",High-Revenue Priority,80995.0,91,14,9449.0,47247.0,47156.0,Stockout Risk,Local Warehouse Priority
23166,MEDIUM CERAMIC TOP STORAGE JAR,High-Revenue Priority,8670.333333333334,107,21,4552.0,10621.0,10514.0,Stockout Risk,Local Warehouse Priority
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,High-Revenue Priority,4227.0,121,45,2540.0,8880.0,8759.0,Stockout Risk,Local Warehouse Priority
23084,RABBIT NIGHT LIGHT,High-Revenue Priority,3842.375,36,21,1536.0,4226.0,4190.0,Stockout Risk,Local Warehouse Priority
85123A,WHITE HANGING HEART T-LIGHT HOLDER,High-Revenue Priority,2895.4615384615386,56,30,1076.0,3971.0,3915.0,Stockout Risk,Local Warehouse Priority
84879,ASSORTED COLOUR BIRD ORNAMENT,High-Revenue Priority,2797.076923076923,28,21,753.0,2711.0,2683.0,Stockout Risk,Local Warehouse Priority
22086,PAPER CHAIN KIT 50'S CHRISTMAS,High-Revenue Priority,1486.8461538461538,33,30,934.0,2421.0,2388.0,Stockout Risk,Local Warehouse Priority
85099B,JUMBO BAG RED RETROSPOT,High-Revenue Priority,3720.846153846154,222,14,606.0,2342.0,2120.0,Stockout Risk,Local Warehouse Priority
21181,PLEASE ONE PERSON METAL SIGN,High-Revenue Priority,1022.8333333333334,94,45,647.0,2181.0,2087.0,Stockout Risk,Local Warehouse Priority
22386,JUMBO BAG PINK POLKADOT,High-Revenue Priority,1649.8461538461538,207,30,641.0,2291.0,2084.0,Stockout Risk,Local Warehouse Priority
84946,ANTIQUE SILVER TEA GLASS ETCHED,High-Revenue Priority,1477.6153846153843,84,30,544.0,2022.0,1938.0,Stockout Risk,Local Warehouse Priority
23201,JUMBO BAG ALPHABET,High-Revenue Priority,1485.111111111111,73,30,511.0,1996.0,1923.0,Stockout Risk,Local Warehouse Priority
23570,TRADITIONAL PICK UP STICKS GAME,High-Revenue Priority,924.0,192,45,715.0,2101.0,1909.0,Stockout Risk,Local Warehouse Priority
22469,HEART OF WICKER SMALL,High-Revenue Priority,1381.7692307692307,43,30,562.0,1944.0,1901.0,Stockout Risk,Local Warehouse Priority
23202,JUMBO BAG VINTAGE LEAF,High-Revenue Priority,1367.625,31,30,454.0,1822.0,1791.0,Stockout Risk,Local Warehouse Priority
22492,MINI PAINT SET VINTAGE,High-Revenue Priority,2048.6923076923076,185,21,525.0,1959.0,1774.0,Stockout Risk,Local Warehouse Priority
21213,PACK OF 72 SKULL CAKE CASES,High-Revenue Priority,1166.8461538461538,38,30,443.0,1610.0,1572.0,Stockout Risk,Local Warehouse Priority
23581,JUMBO BAG PAISLEY PARK,High-Revenue Priority,1673.3333333333333,139,21,522.0,1693.0,1554.0,Stockout Risk,Local Warehouse Priority
21703,BAG 125G SWIRLY MARBLES,High-Revenue Priority,722.3076923076923,50,45,475.0,1558.0,1508.0,Stockout Risk,Local Warehouse Priority
23355,HOT WATER BOTTLE KEEP CALM,High-Revenue Priority,1163.2,161,30,499.0,1662.0,1501.0,Stockout Risk,Local Warehouse Priority
22740,POLKADOT PEN,High-Revenue Priority,760.2222222222222,172,45,434.0,1574.0,1402.0,Stockout Risk,Local Warehouse Priority
23307,SET OF 60 PANTRY DESIGN CAKE CASES,High-Revenue Priority,1721.2857142857142,280,21,431.0,1636.0,1356.0,Stockout Risk,Local Warehouse Priority
21731,RED TOADSTOOL LED NIGHT LIGHT,High-Revenue Priority,1077.0,159,30,421.0,1498.0,1339.0,Stockout Risk,Local Warehouse Priority
23199,JUMBO BAG APPLES,High-Revenue Priority,1656.4444444444443,253,21,429.0,1589.0,1336.0,Stockout Risk,Local Warehouse Priority
23321,SMALL WHITE HEART OF WICKER,High-Revenue Priority,673.7142857142857,103,45,401.0,1412.0,1309.0,Stockout Risk,Local Warehouse Priority
23209,LUNCH BAG DOILEY PATTERN,High-Revenue Priority,1646.25,242,21,390.0,1542.0,1300.0,Stockout Risk,Local Warehouse Priority
22998,TRAVEL CARD WALLET KEEP CALM,High-Revenue Priority,1124.1818181818182,250,30,413.0,1537.0,1287.0,Stockout Risk,Local Warehouse Priority
23293,SET OF 12 FAIRY CAKE BAKING CASES,High-Revenue Priority,1411.8333333333333,69,21,352.0,1340.0,1271.0,Stockout Risk,Local Warehouse Priority
23295,SET OF 12 MINI LOAF BAKING CASES,High-Revenue Priority,1022.3333333333334,126,30,368.0,1390.0,1264.0,Stockout Risk,Local Warehouse Priority
47566,PARTY BUNTING,High-Revenue Priority,1406.3846153846157,168,21,425.0,1409.0,1241.0,Stockout Risk,Local Warehouse Priority
