stock_code,total_units,total_revenue,active_months,avg_monthly_units,std_monthly_units,avg_unit_price,total_orders,description,demand_cv,sku_class,recommended_action
10002,860,759.89,5,172.0,132.18358445737505,1.045842857142857,71,INFLATABLE POLITICAL GLOBE,0.7685092119614828,Regular,Maintain standard replenishment review
10080,303,119.08999999999999,7,43.285714285714285,33.11955256196499,0.4557142857142857,22,GROOVY CACTUS INFLATABLE,0.7651381779991911,Regular,Maintain standard replenishment review
10120,192,40.32,10,19.2,15.454592988637534,0.21000000000000002,29,DOGGY RUBBER,0.8049267181582049,Regular,Maintain standard replenishment review
10123C,5,3.25,2,2.5,2.1213203435596424,0.65,3,HEARTS WRAPPING TAPE,0.8485281374238569,Long-Tail,Limit stock and avoid excessive local warehouse space
10124A,16,6.72,4,4.0,0.816496580927726,0.42,5,SPOTS ON RED BOOKCOVER TAPE,0.2041241452319315,Long-Tail,Limit stock and avoid excessive local warehouse space
10124G,17,7.14,4,4.25,0.4999999999999999,0.42,4,ARMY CAMO BOOKCOVER TAPE,0.11764705882352938,Long-Tail,Limit stock and avoid excessive local warehouse space
10125,1295,993.99,12,107.91666666666667,67.52031119776052,0.8981607142857143,91,MINI FUNKY DESIGN TAPES,0.6256708373537654,Regular,Maintain standard replenishment review
10133,2856,1539.6000000000001,10,285.6,302.45006934111365,0.7661761741887835,196,COLOURING PENCILS BROWN TUBE,1.05899884223079,High-Turnover Stable,Keep stable local warehouse inventory
10135,2229,2204.89,13,171.46153846153845,172.1959229988791,1.4499298790539485,175,COLOURING PENCILS BROWN TUBE,1.004283086130744,High-Turnover Stable,Keep stable local warehouse inventory
11001,1615,2389.44,13,124.23076923076923,130.5317035858555,2.0495271395271395,113,ASSTD DESIGN RACING CAR PEN,1.050719595427939,Regular,Maintain standard replenishment review
15030,143,41.47,8,17.875,29.49788127984788,0.29,12,FAN BLACK FRAME,1.6502311205509304,Regular,Maintain standard replenishment review
15034,6591,840.0200000000001,13,507.0,584.2171399973358,0.41856765456765455,138,PAPER POCKET TRAVELING FAN,1.1523020512767965,High-Turnover Volatile,Monitor closely and replenish in smaller batches
15036,23826,18569.84,13,1832.7692307692307,1455.6307426591263,1.0975904555532665,518,ASSORTED COLOURS SILK FAN,0.7942247819427786,High-Revenue Priority,Prioritize inventory monitoring and avoid stockouts
15039,2090,1978.6399999999999,13,160.76923076923077,184.10556475663353,1.258701990819638,145,SANDALWOOD FAN,1.1451542305436535,High-Turnover Volatile,Monitor closely and replenish in smaller batches
15044A,458,1439.02,13,35.23076923076923,27.671145760382014,3.606165445665446,102,PINK PAPER PARASOL,0.7854255346833322,Regular,Maintain standard replenishment review
15044B,321,946.83,9,35.666666666666664,34.73110997362451,3.4701798375916026,60,BLUE PAPER PARASOL,0.9737694385128368,Regular,Maintain standard replenishment review
15044C,313,1022.99,13,24.076923076923077,22.23158990588819,3.862608434300742,88,PURPLE PAPER PARASOL,0.923356769254142,Regular,Maintain standard replenishment review
15044D,644,1819.76,13,49.53846153846154,43.53468996983016,3.5414340104340103,84,RED PAPER PARASOL,0.8788058534282486,Regular,Maintain standard replenishment review
15056BL,2844,15828.84,13,218.76923076923077,148.9877812921549,6.517775263834631,321,EDWARDIAN PARASOL BLACK,0.6810271296758135,High-Revenue Priority,Prioritize inventory monitoring and avoid stockouts
15056N,3950,22152.69,13,303.84615384615387,171.60509226799678,6.9772656199745935,456,EDWARDIAN PARASOL NATURAL,0.5647762530339134,High-Revenue Priority,Prioritize inventory monitoring and avoid stockouts
15056P,776,4354.92,13,59.69230769230769,37.225404890085066,6.32535014985015,144,EDWARDIAN PARASOL PINK,0.6236214736741055,High-Revenue Priority,Prioritize inventory monitoring and avoid stockouts
