stock_code,description,sku_class,warehouse_strategy,current_inventory,inventory_coverage_days,unit_cost,estimated_inventory_value,overstock_capital_exposure
22823,CHEST NATURAL WOOD 20 DRAWERS,Long-Tail,Overstock Review / Reduce Replenishment,115,1437.5,73.52,8454.8,7396.11
84963B,BLUE PAINTED KASHMIRI CHAIR,Long-Tail,Overstock Review / Reduce Replenishment,117,1170.0,24.01,2809.17,2376.99
gift_0001_50,DOTCOMGIFTSHOP GIFT VOUCHER £50.00,Long-Tail,Overstock Review / Reduce Replenishment,86,1935.0000000000002,21.5,1849.0,1677.0
gift_0001_30,DOTCOMGIFTSHOP GIFT VOUCHER £30.00,Long-Tail,Overstock Review / Reduce Replenishment,105,2250.0000000000005,16.19,1699.95,1563.95
S,SAMPLES,Long-Tail,Overstock Review / Reduce Replenishment,97,2910.0,15.88,1540.36,1445.08
84632,DECORATIVE HANGING SHELVING UNIT,Long-Tail,Overstock Review / Reduce Replenishment,54,810.0,28.84,1557.36,1211.28
21277,FRENCH STYLE EMBOSSED HEART CABINET,Long-Tail,Overstock Review / Reduce Replenishment,91,1050.0,14.1,1283.1,1063.14
21667,GLASS CAKE COVER AND PLATE,Long-Tail,Overstock Review / Reduce Replenishment,115,1725.0,9.49,1091.35,977.47
20785,FUSCHIA RETRO BAR STOOL,Long-Tail,Overstock Review / Reduce Replenishment,75,642.8571428571429,16.75,1256.25,904.5
22824,3 TIER SWEETHEART GARDEN SHELF,Long-Tail,Overstock Review / Reduce Replenishment,87,569.4545454545455,14.49,1260.63,862.16
22016,DOTCOMGIFTSHOP GIFT VOUCHER £100.00,Long-Tail,Overstock Review / Reduce Replenishment,35,1050.0,29.51,1032.85,855.79
47570b,TEA TIME TABLE CLOTH,Long-Tail,Overstock Review / Reduce Replenishment,85,2550.0,10.49,891.65,828.71
DCGS0070,CAMOUFLAGE DOG COLLAR,Long-Tail,Overstock Review / Reduce Replenishment,98,2940.0,7.87,771.26,724.04
22761,CHEST 7 DRAWER MA CAMPAGNE,Long-Tail,Overstock Review / Reduce Replenishment,81,810.0,10.69,865.89,673.47
48189,DOORMAT FRIENDSHIP,Long-Tail,Overstock Review / Reduce Replenishment,111,616.6666666666666,8.05,893.55,632.73
21761,WOOD AND GLASS MEDICINE CABINET,Long-Tail,Overstock Review / Reduce Replenishment,60,1619.9999999999998,11.85,711.0,631.96
21628,TRIANGULAR POUFFE VINTAGE,Long-Tail,Overstock Review / Reduce Replenishment,117,612.8571428571428,7.41,866.97,612.36
90056,CHUNKY CRACKED GLAZE NECKLACE IVORY,Long-Tail,Overstock Review / Reduce Replenishment,108,2430.0000000000005,5.74,619.92,574.0
gift_0001_40,DOTCOMGIFTSHOP GIFT VOUCHER £40.00,Long-Tail,Overstock Review / Reduce Replenishment,49,1470.0,13.33,653.17,573.19
84617,NEW BAROQUE BLACK BOXES,Long-Tail,Overstock Review / Reduce Replenishment,110,3300.0,5.5,605.0,572.0
DCGS0069,OOH LA LA DOGS COLLAR,Long-Tail,Overstock Review / Reduce Replenishment,68,2040.0,8.81,599.08,546.22
90180A,BLACK+WHITE NECKLACE W TASSEL,Long-Tail,Overstock Review / Reduce Replenishment,116,1432.9411764705885,5.1,591.6,517.29
22764,"RUSTIC WOODEN CABINET, GLASS DOORS",Long-Tail,Overstock Review / Reduce Replenishment,46,552.0,16.54,760.84,512.74
22802,FAUX FUR CHOCOLATE THROW,Long-Tail,Overstock Review / Reduce Replenishment,113,467.58620689655174,7.37,832.81,512.22
85161,ACRYLIC GEOMETRIC LAMP,Long-Tail,Overstock Review / Reduce Replenishment,95,651.4285714285713,7.41,703.95,509.44
