stock_code,description,total_units,total_revenue,order_count,avg_unit_price
22423,REGENCY CAKESTAND 3 TIER,13851,174156.54,1988,13.98
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,2.08
85123A,WHITE HANGING HEART T-LIGHT HOLDER,37580,104284.24,2189,3.12
47566,PARTY BUNTING,18283,99445.23,1685,5.8
85099B,JUMBO BAG RED RETROSPOT,48371,94159.81,2089,2.49
23166,MEDIUM CERAMIC TOP STORAGE JAR,78033,81700.92,247,1.47
23084,RABBIT NIGHT LIGHT,30739,66870.03,994,2.39
22086,PAPER CHAIN KIT 50'S CHRISTMAS,19329,64875.59,1160,3.36
84879,ASSORTED COLOUR BIRD ORNAMENT,36362,58927.62,1455,1.72
79321,CHILLI LIGHTS,10302,54096.36,661,6.8
23298,SPOTTY BUNTING,8320,42513.48,1140,5.52
22386,JUMBO BAG PINK POLKADOT,21448,42401.01,1218,2.6
21137,BLACK RECORD COVER FRAME,11651,40633.38,375,4.22
22502,PICNIC BASKET WICKER 60 PIECES,61,39619.5,2,649.5
23284,DOORMAT KEEP CALM AND COME IN,5487,38133.64,728,8.78
22720,SET OF 3 CAKE TINS PANTRY DESIGN,7483,38108.89,1385,5.83
22960,JAM MAKING SET WITH JARS,8695,37082.13,1132,5.08
82484,WOOD BLACK BOARD ANT WHITE FINISH,6012,35966.92,685,8.44
20725,LUNCH BAG RED RETROSPOT,19232,35572.36,1564,2.13
22197,POPCORN HOLDER,36749,34288.67,803,1.02
