stock_code,description,total_units,total_revenue,order_count,avg_unit_price
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,2.08
23166,MEDIUM CERAMIC TOP STORAGE JAR,78033,81700.92,247,1.47
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,54951,13814.01,535,0.32
85099B,JUMBO BAG RED RETROSPOT,48371,94159.81,2089,2.49
85123A,WHITE HANGING HEART T-LIGHT HOLDER,37580,104284.24,2189,3.12
22197,POPCORN HOLDER,36749,34288.67,803,1.02
21212,PACK OF 72 RETROSPOT CAKE CASES,36396,21246.45,1320,0.76
84879,ASSORTED COLOUR BIRD ORNAMENT,36362,58927.62,1455,1.72
23084,RABBIT NIGHT LIGHT,30739,66870.03,994,2.39
22492,MINI PAINT SET VINTAGE,26633,16937.82,380,0.79
22616,PACK OF 12 LONDON TISSUES,26119,7975.98,512,0.45
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24820,12226.32,869,0.74
22178,VICTORIAN GLASS HANGING T-LIGHT,24275,33146.82,1037,1.64
15036,ASSORTED COLOURS SILK FAN,23826,18569.84,518,1.07
17003,BROCADE RING PURSE,23020,6025.95,239,0.36
21915,RED  HARMONICA IN BOX,21903,26294.08,661,1.43
22386,JUMBO BAG PINK POLKADOT,21448,42401.01,1218,2.6
22197,SMALL POPCORN HOLDER,20149,17045.8,589,1.08
22086,PAPER CHAIN KIT 50'S CHRISTMAS,19329,64875.59,1160,3.36
20725,LUNCH BAG RED RETROSPOT,19232,35572.36,1564,2.13
