stock_code,description,sku_class,warehouse_strategy,avg_monthly_units,current_inventory,reorder_point,recommended_replenishment_qty,avg_unit_price,stockout_revenue_exposure
23843,"PAPER CRAFT , LITTLE BIRDIE",High-Revenue Priority,Local Warehouse Priority,80995.0,91,47247.0,47156.0,2.08,98084.48
23166,MEDIUM CERAMIC TOP STORAGE JAR,High-Revenue Priority,Local Warehouse Priority,8670.333333333334,107,10621.0,10514.0,1.4389362058176391,15128.98
85123A,WHITE HANGING HEART T-LIGHT HOLDER,High-Revenue Priority,Local Warehouse Priority,2895.4615384615386,56,3971.0,3915.0,3.12572126805888,12237.2
23084,RABBIT NIGHT LIGHT,High-Revenue Priority,Local Warehouse Priority,3842.375,36,4226.0,4190.0,2.69407110637957,11288.16
22086,PAPER CHAIN KIT 50'S CHRISTMAS,High-Revenue Priority,Local Warehouse Priority,1486.8461538461538,33,2421.0,2388.0,4.016555893147112,9591.54
23355,HOT WATER BOTTLE KEEP CALM,High-Revenue Priority,Local Warehouse Priority,1163.2,161,1662.0,1501.0,5.329583968890601,7999.71
47566,PARTY BUNTING,High-Revenue Priority,Local Warehouse Priority,1406.3846153846157,168,1409.0,1241.0,5.968253436487751,7406.6
22386,JUMBO BAG PINK POLKADOT,High-Revenue Priority,Local Warehouse Priority,1649.8461538461538,207,2291.0,2084.0,2.627545306954429,5475.8
85099B,JUMBO BAG RED RETROSPOT,High-Revenue Priority,Local Warehouse Priority,3720.846153846154,222,2342.0,2120.0,2.5018670785413266,5303.96
21181,PLEASE ONE PERSON METAL SIGN,High-Revenue Priority,Local Warehouse Priority,1022.8333333333334,94,2181.0,2087.0,2.4142453433400486,5038.53
84879,ASSORTED COLOUR BIRD ORNAMENT,High-Revenue Priority,Local Warehouse Priority,2797.076923076923,28,2711.0,2683.0,1.729335726328434,4639.81
23201,JUMBO BAG ALPHABET,High-Revenue Priority,Local Warehouse Priority,1485.111111111111,73,1996.0,1923.0,2.4001752344560594,4615.54
23202,JUMBO BAG VINTAGE LEAF,High-Revenue Priority,Local Warehouse Priority,1367.625,31,1822.0,1791.0,2.321707431872281,4158.18
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,High-Revenue Priority,Local Warehouse Priority,814.9230769230769,170,1299.0,1129.0,3.542820172341389,3999.84
22469,HEART OF WICKER SMALL,High-Revenue Priority,Local Warehouse Priority,1381.7692307692307,43,1944.0,1901.0,1.9838398175643737,3771.28
22423,REGENCY CAKESTAND 3 TIER,High-Revenue Priority,Local Warehouse Priority,1065.4615384615386,77,334.0,257.0,14.061295919776027,3613.75
23284,DOORMAT KEEP CALM AND COME IN,High-Revenue Priority,Local Warehouse Priority,609.6666666666666,217,619.0,402.0,8.916809501901444,3584.56
23199,JUMBO BAG APPLES,High-Revenue Priority,Local Warehouse Priority,1656.4444444444443,253,1589.0,1336.0,2.5895754350140567,3459.67
23581,JUMBO BAG PAISLEY PARK,High-Revenue Priority,Local Warehouse Priority,1673.3333333333333,139,1693.0,1554.0,2.2212631626724764,3451.84
79321,CHILLI LIGHTS,High-Revenue Priority,Local Warehouse Priority,792.4615384615385,42,529.0,487.0,7.011669124090107,3414.68
22699,ROSES REGENCY TEACUP AND SAUCER,High-Revenue Priority,Local Warehouse Priority,758.7692307692307,109,1026.0,917.0,3.7065755197651913,3398.93
23240,SET OF 4 KNICK KNACK TINS DOILEY,High-Revenue Priority,Local Warehouse Priority,596.7142857142857,43,799.0,756.0,4.449111354614527,3363.53
21731,RED TOADSTOOL LED NIGHT LIGHT,High-Revenue Priority,Local Warehouse Priority,1077.0,159,1498.0,1339.0,2.414861293288263,3233.5
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,High-Revenue Priority,Local Warehouse Priority,787.7692307692307,237,1295.0,1058.0,3.04474025374373,3221.34
23554,LANDMARK FRAME OXFORD STREET,High-Revenue Priority,Local Warehouse Priority,140.66666666666666,119,340.0,221.0,13.77963122605364,3045.3
